0	301
1	606
2	903
3	1196
4	1508
5	1806
6	2107
7	2411
8	2719
9	3006
10	3336
11	3627
12	3941
13	4257
14	4545
15	4832
16	5118
17	5416
18	5738
19	6029
20	6324
21	6623
22	6900
23	7232
24	7561
25	7885
26	8218
27	8558
28	8873
29	9196
30	9550
31	9918
32	10306
33	10701
34	11132
35	11535
36	11994
37	12509
38	13040
39	13584
40	14125
41	14729
42	15321
43	15893
44	16521
45	17134
46	17745
47	18385
48	19117
49	19835
50	20522
51	21262
52	21929
53	22649
54	23285
55	23947
56	24611
57	25276
58	25870
59	26430
60	26978
61	27500
62	27958
63	28418
64	28869
65	29282
66	29709
67	30133
68	30476
69	30819
70	31164
71	31529
72	31831
73	32166
74	32464
75	32798
76	33124
77	33451
78	33773
79	34076
80	34402
81	34714
82	34987
83	35290
84	35557
85	35855
86	36167
87	36476
88	36798
89	37094
90	37408
91	37707
92	37996
93	38296
94	38592
95	38902
96	39182
97	39453
98	39713
