791.346	404.504
795.608	410.307
840.785	430.58
800.004	426.051
807.695	403.259
785.994	388.128
820.169	425.37
825.73	428.258
818.072	356.536
766.465	300.743
812.202	424.257
794.412	406.383
751.938	373.946
830.446	441.079
828.709	400.789
822.281	383.817
759.234	402.719
735.079	317.988
796.129	380.987
799.088	446.423
804.324	376.99
810.171	428.343
835.662	406.383
786.28	406.784
830.407	399.655
722.198	318.576
775.938	304.098
766.349	354.603
770.44	388.48
800.146	434.508
793.217	351.618
818.454	399.269
827.036	457.313
773.933	371.296
775.503	408.718
770.948	379.844
771.601	306.388
749.257	362.582
787.582	365.013
780.928	366.705
842.396	452.901
805.012	395.738
829.009	424.197
778.35	366.19
783.318	355.944
793.265	399.28
777.03	383.742
810.732	480.907
788.44	411.567
794.227	402.065
773.854	385.351
803.528	368.93
780.369	369.819
807.591	402.114
807.162	424.921
789.106	398.55
786.607	334.43
741.432	384.962
809.238	393.842
819.218	438.745
818.06	384.92
770.669	423.608
828.478	417.238
766.113	468.884
785.453	421.176
816.631	434.23
836.636	435.265
823.898	441.41
867.788	494.676
762.594	408.36
791.646	396.622
860.259	418.611
818.46	410.68
810.058	467.726
855.211	467.131
813.551	402.362
890.689	437.84
810.555	411.385
814.593	409.235
765.069	363.536
796.253	439.186
786.529	376.629
824.416	461.748
796.24	400.234
747.3	387.09
798.501	390.31
746.175	321.581
809.891	371.173
792.052	370.146
790.675	345.611
807.643	438.562
799.966	403.968
757.228	373.235
831.013	482.61
810.191	407.742
762.148	362.073
771.137	360.297
796.873	406.326
748.096	347.672
834.16	420.451
769.856	398.006
824.212	381.953
799.051	420.648
805.544	378.459
749.902	326.857
808.207	471.845
778.185	362.979
805.111	373.605
781.887	372.3
772.117	400.174
816.224	457.836
755.469	401.023
800.555	377.159
755.012	408.335
802.966	407.602
763.834	385.85
771.473	374.355
814.892	433.44
837.97	438.039
825.338	463.093
760.315	337.145
774.695	403.18
810.175	417.774
810.578	378.452
818.12	377.443
778.815	414.198
833.628	422.293
855.646	440.524
795.46	397.14
803.956	375.921
796.986	402.394
753.391	365.06
824.075	440.128
858.078	372.578
806.251	469.639
769.747	326.451
726.704	320.114
786.05	346.779
807.038	397.721
778.103	402.103
808.628	377.762
773.516	356.594
823.41	416.928
796.911	415.292
766.67	355.405
739.161	311.411
839.002	387.44
782.064	379.141
765.847	312.628
795.092	396.729
